smiles,docking_score,reference_id
O=C(O)[C@@H]1C[C@H](C1)NC(=O)c(cn2)c(n23)c(Cl)ccc3,-5.466,TRAIN_0196
c1ccccc1-n(c2=O)nc(c(c23)cccc3)C(=O)N4CCC[C@@H]4CC5CCCC5,-5.466,TRAIN_0197
[nH]1ccnc1-c(ccc2C)cc2NC(=O)c(c(=O)o3)c(C)c(c34)cccc4,-5.463,TRAIN_0198
CC(C)Oc1ccc(cc1)CC(=O)N2CC[C@@H](C2)C3CCN(C)CC3,-5.454,TRAIN_0199
CCOc1ccc(cc1)C[C@@H](C(=O)N)CNC(=O)C2CCC2,-5.453,TRAIN_0200
C1CCCN([C@H]12)C(=O)[C@@H](C2)NC(=O)Nc3nnc(s3)COc4ccc(Cl)cc4,-5.45,TRAIN_0201
NC(=O)c1ccc(cc1)C(=O)Nc2ccccc2OCC(F)(F)F,-5.448,TRAIN_0202
C[C@@H]1CN(C[C@H](O1)C)Cc2ccc(cc2)C(=O)N3CC[C@@H](N)C3,-5.439,TRAIN_0203
Cc1nscc1C(=O)N2CC[C@H](C[C@H]2C)c3ccccc3,-5.438,TRAIN_0204
CCN1CN(CC1=O)C(=O)Nc2ccc(cc2C)-c3nc(no3)C4CC4,-5.438,TRAIN_0205
Cc1ccc(cc1)-c2ocnc2C(=O)Nc3cc([nH]n3)-c4ccncc4,-5.435,TRAIN_0206
Cc1ccc(c(F)c1)S(=O)(=O)Nc2ncn(n2)-c3ccc(C#N)cc3,-5.432,TRAIN_0207
c1ccccc1NC(=O)NCc(cc2Cl)cc(c23)OCCCO3,-5.425,TRAIN_0208
C1CC=CC[C@@H]1C(=O)Nc(cc2C)ccc2N3CCCC3=O,-5.418,TRAIN_0209
O=c1[n-]cc[nH+]c1N2CCC[C@H](C2)NCc3cc(F)ccc3F,-5.412,TRAIN_0210
Cc1cc(c(C#N)cn1)N2CC[C@H](C2)Oc3ccnc(c3)CN(C)C,-5.399,TRAIN_0211
O=C(O)c1cccnc1CN(C)Cc2ccccc2C(F)(F)F,-5.395,TRAIN_0212
c1nn(C)c(c12)ncnc2Oc3ccc(F)cc3F,-5.393,TRAIN_0213
CCC(CC)C(=O)N1CCN(CC1)Cc(n2)[nH]c(=O)c(c23)cnn3C,-5.392,TRAIN_0214
FC(F)S(=O)(=O)c1ccc(cc1)CN2CCC[C@H]2CO,-5.391,TRAIN_0215
COc1ccc(F)cc1C(=O)N2CCN(CC2)[C@]3(C(=O)O)CCOC3,-5.387,TRAIN_0216
CC(=O)N1C[C@H](O)C[C@@H]1c2nc(no2)-c3cc(F)c(F)c(F)c3,-5.384,TRAIN_0217
c1cc(F)ccc1NC(=O)CN2CCN(CC2)c3ccc(F)cc3,-5.381,TRAIN_0218
Cc1csc(n1)[C@H]2CN(CCO2)Cc(nc3N)nc(c34)cccc4,-5.38,TRAIN_0219
Fc1ncccc1Oc2nc(C)nc(c23)scc3-c4ccccc4,-5.378,TRAIN_0220
C1CC[C@@H](CN)c(c12)cc(cc2)C(=O)NC3(CCC3)c4nnc[nH]4,-5.373,TRAIN_0221
Cc1nn(c(C)c1Cl)CC(=O)NC2(C(=O)O)CCCC2,-5.367,TRAIN_0222
FC(F)(F)Sc(cc1)ccc1C(=O)Nc2ncccc2O,-5.36,TRAIN_0223
